Group.1	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55
22	24	0.153846153846154	0.153846153846154	0	0	0	0	0	0.153846153846154	0	0	0	0	0	0	0	0.384615384615385	0.0769230769230769	0	0	0	0	0	0.0769230769230769	0.538461538461538	0	0	1	0	0	0	0	0.153846153846154	1	0	0	1	1	0	0.153846153846154	0	0	0	0	0	0	1	0	0	0.923076923076923	0	0	0	0.538461538461538	0.153846153846154	0
23	25	0.111111111111111	0.111111111111111	0	0	0	0	0	0.111111111111111	0	0	0	0	0	0	0	0.333333333333333	0.111111111111111	0	0.222222222222222	0	0	0	0.444444444444444	0.555555555555556	0	0	1	0	0	0	0	0.111111111111111	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0.444444444444444	0	0	0	0.666666666666667	0.111111111111111	0
24	26	0	0.130434782608696	0	0	0	0	0	0	0	0	0	0	0	0	0	0.565217391304348	0.0869565217391304	0.0434782608695652	0.0434782608695652	0.0869565217391304	0.0869565217391304	0.0869565217391304	0.434782608695652	0.391304347826087	0	0.0434782608695652	1	0	0	0	0	0	1	0	0	1	1	0	0	0.0434782608695652	0	0	0	0	0	1	0	0	0	0	0	0	0.217391304347826	0	0
25	28	0.823529411764706	0.882352941176471	0	0	0	0	0	0.882352941176471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.882352941176471	1	0.0588235294117647	0	0	1	0	0	0	0	0	0	0	0	0.882352941176471	0	0	0.823529411764706	0	0	0	0.882352941176471	0	0.0588235294117647
26	29	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0.0833333333333333	0	0	0.916666666666667	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0.916666666666667	0	0	0	1	0	0
27	30	0.636363636363636	1	0	0	0	0	0	0.636363636363636	0	0	0	0	0	0	0	0.0909090909090909	0.0909090909090909	0	0	0	0	0	0.181818181818182	0.636363636363636	0	0	0.727272727272727	0.636363636363636	0	0	0.0909090909090909	0.545454545454545	1	0	0	0.727272727272727	1	0	0	0	0	0	0	0.0909090909090909	0	1	0	0	0.909090909090909	0	0	0	1	0	0.272727272727273
28	31	0.1875	0.1875	0.5625	0	0	0	0	0.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0.25	0	0	0	0.875	1	0	0	0.25	1	0	0	0	0	0	0	0	0	0.875	0	0	0.8125	0	0	0	0.875	0	0
29	32	0.2	0.2	0.6	0	0	0	0	0.933333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.266666666666667	0	0	0.266666666666667	0.266666666666667	0	0	0	0.933333333333333	1	0	0.733333333333333	0.266666666666667	1	0	0	0	0	0	0	0	0	0.933333333333333	0	0	0.866666666666667	0	0	0	0.933333333333333	0	0
30	33	0.941176470588235	1	0.0588235294117647	0.0588235294117647	0.0588235294117647	0	0	1	0	0.0588235294117647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0.764705882352941	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0.941176470588235	0	0	0	1	0.0588235294117647	0.176470588235294
31	34	0.571428571428571	0.571428571428571	0.142857142857143	0	0	0	0	0.714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.714285714285714	1	0	0	0	1	0	0	0	0	0	0	0	0	0.714285714285714	0	0	0.571428571428571	0	0	0	0.714285714285714	0	0
32	36	0.5625	0.5625	0	0.3125	0.375	0	0	0.5625	0.3125	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5625	1	0	0	0	1	0	0	0	0	0	0	0	0	0.9375	0	0	0.875	0	0	0	0.875	0.375	0
33	37	0.916666666666667	0.958333333333333	0	0	0	0	0	0.958333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.958333333333333	0	0	0.958333333333333	0.958333333333333	0	0	0	0.875	1	0	0	0.958333333333333	1	0	0	0	0	0	0	0	0	0.958333333333333	0	0	0.875	0	0	0	1	0	0
34	38	0.9	1	0	0	0	0	0	1	0	0	0	0.1	0	0	0	0.35	0.05	0	0	0	0	0	0.2	0.95	0	0	1	1	0	0	0	0.3	1	0	0	1	1	0	0	0	0	0	0	0.05	0	1	0	0	0.95	0	0	0	1	1	0
35	39	0.944444444444444	1	0	0.0555555555555556	0.0555555555555556	0	0	1	0.0555555555555556	0	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0.111111111111111	1	0	0.111111111111111	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0.0555555555555556	0	1	0	0	0.944444444444444	0	0	0	1	0.833333333333333	0
36	40	1	1	0	0	0	0	0	1	0	0	0	0.125	0	0	0	0.25	0	0	0	0	0	0	0.25	1	0	0	1	0.875	0.125	0	0	0.875	1	0.25	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0.75	0	0	0	0.875	0.625	0
37	41	0.904761904761905	0.952380952380952	0	0	0	0	0	0.952380952380952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.952380952380952	0	0	0.952380952380952	0.952380952380952	0	0	0	0.904761904761905	1	0	0	0.952380952380952	1	0	0	0	0	0	0	0	0	0.952380952380952	0	0	0.904761904761905	0	0	0	1	0	0
38	42	0.954545454545455	0.954545454545455	0	0	0	0	0	0.954545454545455	0	0	0	0	0	0	0	0	0.0454545454545455	0	0	0	0	0	0.0454545454545455	0.909090909090909	0	0	0.954545454545455	0.954545454545455	0.0454545454545455	0	0	0	1	0	0.0909090909090909	0.954545454545455	1	0	0	0	0	0	0	0	0	0.954545454545455	0	0	0.909090909090909	0	0	0	0.954545454545455	0	0
39	43	0.1	0.1	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0.1	0	0	0	0	0	0	0	0	0.1	0	0	0.1	0	0	0	0.1	0	0
40	44	0.947368421052632	0.947368421052632	0	0	0	0	0	0.947368421052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0.0526315789473684	0	0	0	0	0	0	0.947368421052632	0	0	0.631578947368421	0	0	0	0.947368421052632	0	0
41	45	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0.05	1	0	0	1	1	0.05	0	0	0	1	0	0.1	1	1	0	0.05	0	0	0	0	0.05	0	1	0	0	0.95	0	0	0	1	0	0
42	46	0.947368421052632	0.947368421052632	0	0	0	0	0	0.947368421052632	0	0	0	0	0	0	0	0	0.0526315789473684	0	0	0	0	0	0.0526315789473684	0.894736842105263	0	0	0.947368421052632	0.947368421052632	0	0	0	0	1	0	0	0.947368421052632	1	0	0	0	0	0	0	0	0	0.947368421052632	0	0	0.894736842105263	0	0	0	0.947368421052632	0	0
43	47	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
44	48	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0.95	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0.95	0	0	0	1	0	0
45	49	1	1	0	0	0	0	0	1	0	0	0	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0.111111111111111	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0.777777777777778	0.777777777777778	0.166666666666667	0	0	0	0.444444444444444	0	0
46	50	1	1	0	0	0	0	0	1	0	0	0	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0.111111111111111	0	0	0	1	0	0	1	1	0	0	0	0	0.777777777777778	0	0	0	1	0.777777777777778	0	0.166666666666667	0	0	0	0.444444444444444	0	0
47	51	1	1	0	0	0	0	0	1	0	0	0	0.0555555555555556	0	0	0	0.0555555555555556	0.166666666666667	0	0	0	0	0	0.444444444444444	0.944444444444444	0	0	1	1	0.833333333333333	0	0	0	1	0.111111111111111	0.0555555555555556	1	1	0	0	0	0	0	0	0	0	1	0.777777777777778	0.777777777777778	0.166666666666667	0	0	0	0.333333333333333	0	0
48	52	1	1	0	0	0	0	0	1	0	0	0	0.0555555555555556	0	0	0	0.0555555555555556	0.166666666666667	0	0	0	0	0	0.444444444444444	0.944444444444444	0	0	1	1	0.833333333333333	0	0	0	1	0.111111111111111	0.0555555555555556	1	1	0	0	0	0	0.777777777777778	0	0	0	1	0.777777777777778	0	0.166666666666667	0	0	0	0.333333333333333	0	0
49	54	0.0625	0.0625	0	0	0	0	0	0.0625	0	0	0.0625	0	0	0.0625	0.125	0.25	0.0625	0.25	0.1875	0	0.0625	0	0.5625	0.375	0.0625	0	0.9375	0.0625	0	0	0	0	1	0	0	0.9375	1	0	0	0	0	0	0	0.125	0	0.9375	0	0	0.8125	0	0	0	0.25	0	0
50	55	0.933333333333333	0.933333333333333	0	0	0	0	0	0.933333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.933333333333333	0	0	0.933333333333333	0.933333333333333	0	0	0	0	1	0	0	0.933333333333333	1	0	0	0	0	0	0	0	0	0.933333333333333	0	0	0.866666666666667	0	0	0	0.933333333333333	0	0
51	56	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0.142857142857143	0	0	0	0	0	0	0.214285714285714	0.928571428571429	0	0	1	1	0.642857142857143	0	0	0	1	0	0.0714285714285714	1	1	0	0	0	0	0	0	0.142857142857143	0	1	0.0714285714285714	0	0.928571428571429	0	0	0	1	0	0
